Video Title,Description,Video URL,Published At,Channel Title,Channel ID,Channel Description,Subscriber Count,Total Views,Video Count,Views,Likes,Dislikes,Comments,Channel URL
Can you guess the most polluted city?  || #shorts #didyouknow,Liked this video? Two ways you can support us! COMMENT/SHARE the Video  - Make these stories reach maximum people ...,https://www.youtube.com/watch?v=ZlpMtzrUhns,2024-09-11T15:22:42Z,Sarthak Goswami,UC5fcjujOsqD-126Chn_BAuA,"Sarthak Goswami is a multi-disciplinary entertainer with over 10 Million+  cumulative digital reach across different platforms.

Sarthak brings esoteric news and concepts like politics, social issues,  science & technology, finance to the fore and translates them into simple digestible content for his audience all while following his simple mantra- ‘Marrying News with Entertainment.’
Our viewers are not limited to the Indian subcontinent, but  spread across the globe including countries like the USA, Bangladesh, Pakistan and Nepal etc. 
Our channel has an extensive pool of audience, dominated by the age group 16-30.
",1140000,311734428,574,784150,48448,0,637,https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA
Tired of pollution? Krrish Chawla&#39;s Breathify is an affordable and effective solution! #OMGIndia,Good for you and great for the environment? This affordable yet revolutionary air purifier uses over 98% less plastic than other air ...,https://www.youtube.com/watch?v=_WHjcQYPS2o,2024-06-13T10:52:49Z,HISTORY TV18,UCh0Ob3N4miyi773toqSYj-A,"HISTORY is made by those who write it. We write it in True HD. Making HISTORY everyday, one story at a time.",4040000,391595386,3556,1645,93,0,2,https://www.youtube.com/channel/UCh0Ob3N4miyi773toqSYj-A
India’s capital named most polluted city in the world for the fourth year running,Delhi has air pollution seven times higher than what is considered safe to breath.,https://www.youtube.com/watch?v=PH-HBcR-B0Q,2024-03-21T06:33:07Z,7NEWS Australia,UC5T7D-Dh1eDGtsAFCuwv_Sw,,1790000,732181807,15381,4354,0,0,6,https://www.youtube.com/channel/UC5T7D-Dh1eDGtsAFCuwv_Sw
Ola Electric Scooter Pollution Certificate #shorts #viral,,https://www.youtube.com/watch?v=ZGLhOOehT8U,2024-05-03T02:20:29Z,VSK Vlogs,UC9e0-FhxkH-iL0t0xw5NeXg,"Go for Your Passion & Live for Your Dreams
Hey Dosto Mera name Vishwanath Dey, I m India's first Motovlogger In Ola Uber Rapido & Delivery Catagory In this Channel i uploaded daily moto vlogging & Vlogging regarding's Rapido Bike Taxi,Ola Bike Taxi & all bike taxi services and Delivery services likes Swiggy & Zomato live videos  Porter,WeFast and much more.
My thought, koi bhi kam chota ya bda nhi hota bus aap jo bhi kam kar rhe ho pure imandari se karo or samaj me badlav lao
#VSKVlogs
VSK Vlogs
VKS vlogs,

For Collaborations and Sponsorships Contact me on Instagram and mail-vdey31@gmail.com

plz Subscribe VSK Vlogs

Must Subscribe my other channels
VSK Riding Gears
VSK Rider Noida
",121000,80547045,1538,17403,664,0,20,https://www.youtube.com/channel/UC9e0-FhxkH-iL0t0xw5NeXg
POLLUTION #pollution || WHAT IS POLLUTION#shorts#viral#pollutants#waterpollution#airpollution,POLLUTION #pollution || WHAT IS POLLUTION#shorts#viral#pollutants#waterpollution#airpollution what is pollution what is ...,https://www.youtube.com/watch?v=RWzaqWeztAA,2024-01-18T12:48:13Z,ONLY FOR LEARNERS,UCKE_eT_r_MQoMacWBkgyu7A,"Hii I am Nitin Kumar a Biology Student . I love to study and learn about biology and biology related topics.  

Why you Subscribe my channel !

This YouTube channel for those who wants to learn something new and if you are also a Biology lover then you must have to subscribe this YouTube channel, I share videos frequently at this YouTube channel . It will help you to enhance your knowledge and keep you updated. If you are also targeting any entrance exam like neet then subscribe this channel.

If you visiting first time at my YouTube channel "" about "" section then please share your feedback in the the video Comment, It will be a great help for me .

",4630,865560,828,785,36,0,3,https://www.youtube.com/channel/UCKE_eT_r_MQoMacWBkgyu7A
This start-up puts an end to air pollution. #OMGIndia #OMGSeason9 #shorts #ytshorts,"Founded by 43-year-old Vikash Abraham, Urban Farms Co is based in Palla village in NCR. Urban Farms Co is aiming to end the ...",https://www.youtube.com/watch?v=Uz5IBh-p4AI,2023-09-20T10:00:33Z,HISTORY TV18,UCh0Ob3N4miyi773toqSYj-A,"HISTORY is made by those who write it. We write it in True HD. Making HISTORY everyday, one story at a time.",4040000,391595386,3556,2900,161,0,1,https://www.youtube.com/channel/UCh0Ob3N4miyi773toqSYj-A
Unmasking the price of air pollution. #delhi #mumbai #airpollution #health #explore #shortsfeed,,https://www.youtube.com/watch?v=LdXgC6dBkxU,2023-10-27T08:58:05Z,The Morning Context,UCYAZQvp_LMnL_IAVB8L-rOQ,"The Morning Context is a research and media company. Our mission is to build an independent, credible media company, which tells stories that matter. On the internet, business and chaos. Paid for primarily by readers.
",2340,19724,55,318,0,0,0,https://www.youtube.com/channel/UCYAZQvp_LMnL_IAVB8L-rOQ
कैसे Pollution करता है Liver को ख़राब? | Dr. A.S. Soin #liver #pollution #shorts,Ever wondered how pollution affects your liver health? Dr. A.S. Soin explains the impact of environmental pollution on liver ...,https://www.youtube.com/watch?v=4MCtJfG_JnE,2024-07-28T14:30:03Z,Dr A.S. Soin - Liver Transplant Surgeon   ,UCL9IuX0vm0bPcuoqbg7ibOQ,"Dr. A.S. Soin, Group Chairman & Chief Liver Transplant Surgeon at Medanta, is a pioneer in liver transplantation with nearly 4500+ transplants, including over 250 robotic surgeries and nearly 500 in children. 

Recognized globally for introducing liver transplant in India, he's celebrated with awards like Padma Shri in 2010. Dr. A.S Soin's team at Medanta is among the world's most successful, marking India's prominence in liver transplantation. He's also renowned for his research and has performed over 4500+ living donor liver transplants, the highest in India and second-highest globally, establishing liver transplantation in India in 1998.

Join us for liver transplant awareness and medical updates from the expert. 

For consultation or appointment:

📞 Call: (+91) 8800276222
📧 Email: absoin@gmail.com
🌐 Web: livertransplantindia.com

Follow Dr. A. S. Soin for updates and insights:

🐦 Twitter: @ArvinderSoin
📸 Instagram: @arvindersoin
",3340,277345,173,536,22,0,0,https://www.youtube.com/channel/UCL9IuX0vm0bPcuoqbg7ibOQ
Types of Pollution | padhai.com #shorts,What are the 7 types of pollution? The 7 Different Types of Pollution Explained Water Pollution. Air Pollution. Soil Pollution.,https://www.youtube.com/watch?v=GNV_Cctb-k4,2024-01-14T01:30:08Z,padhai. com,UCZVrj3z8WX_9YuSupGVT7hw,"Padhai related content 

For online tuition classes contact 8929312153
",4060,854300,217,259,0,0,5,https://www.youtube.com/channel/UCZVrj3z8WX_9YuSupGVT7hw
pollution in Delhi | AQI208 |#dangerous #ytshorts @rajnidhankhervlogs,pollution in Delhi || AQI208 |#dangerous #ytshorts ‎@rajnidhankhervlogs #delhi #pollution #fog #winter #december #falcon ...,https://www.youtube.com/watch?v=Zr0sQ2uzJ74,2023-12-27T15:09:01Z,rajnidhankher vlogs,UC5vhCGikn-gp2m08MKwtqaQ,"Hi! 🙏I’m Rajni Dhankher. On my channel, you will find exercise,yoga🧘‍♀️,food🍱🧆🥙 fashion💄💍👠,and my family vlog.👩‍❤️‍👨🕺💃. I love sharing my experiences with you. Subscribe to see more videos on your feed!🤗🤗💖

[Upload Schedule]

Facebook:rajnidhankher

Twitter:

Instagram:rajni.dhankher


Subscribe to our channel and be a part of the journey.

https://www.instagram.com/rajni.dhankher/
#youtube

#youtuber

#subscribe

#youtubelikes

#youtubevide

#youtubemarketing

#youtubeviews

#instavideo

#instayoutube

#youtubeindia 

#youtubeuse 

#youtubelife 

#youtubesubscribers 

#youtubelive 

#youtubecreator

#youtuberewind 

#youtuberp

#youtubepremium

",2420,383725,990,1897,11,0,2,https://www.youtube.com/channel/UC5vhCGikn-gp2m08MKwtqaQ
